e1,e2,ed1,ed2,t,pe1,pe2,ped1,ped2
0,0,0,0,0,0,0,0,0
0.024299805,3.764478894,5.77E-05,1.752026561,0.01,4.374452107,10.52722456,0.764057568,2.31E+00
0.019256977,3.03E+00,3.80E-05,0.000204449,0.02,10.7425792,3.204843934,0.373539954,0.000173004
0.010366829,1.689274612,0.000173705,2.233592915,0.03,6.095940524,1.12926166,1.71158726,1.889502923
0.001324174,0.295286156,0.000353699,3.800354654,0.04,0.289063402,0.151488123,4.6184093,4.687615502
0.007194315,1.039010745,0.00049651,4.459483207,0.05,1.075286908,0.455935886,26.36229978,25.62817529
0.01384142,2.097338509,0.000426882,4.3675299,0.06,1.756846317,0.852790718,5.750581916,7.095021707
0.016724645,2.580453938,0.00014304,3.780078681,0.07,2.064139703,1.039147934,0.791617236,2.582585138
0.015735399,2.465504831,7.36E-05,2.886228732,0.08,2.079592413,1.035218412,0.273733013,1.25528733
0.012972716,2.071633898,0.000139829,1.879193081,0.09,1.966269482,0.939417204,0.423851425,0.611998633
0.009928001,1.626679125,0.000140684,0.899082366,0.1,1.819876299,0.815436792,0.378936338,2.40E-01
0.007144596,1.21329176,0.000130262,0.042853602,0.11,1.664988683,0.683580845,0.325282526,0.009968519
0.004816819,0.862643395,0.000127158,0.6574921,0.12,1.513400522,0.553482877,0.30149832,0.138954747
0.002921863,0.571281166,0.000130033,1.168162594,0.13,1.346801026,0.422200412,0.297442582,0.23155349
0.001363431,0.327591902,0.000140622,1.555371607,0.14,1.073802019,0.281800222,0.314235553,0.296451931
0.000230056,0.143885128,0.00014837,1.74555836,0.15,0.470842696,1.46E-01,0.327427831,0.326281801
0.000619914,0.001197368,0.000154689,1.822262134,0.16,3.578089712,0.001438292,0.340607314,0.339495975
0.001274781,0.112380168,0.000159826,1.834164999,0.17,1.770376493,0.161874309,0.354628148,0.345197456
0.001652681,0.184474886,0.000157862,1.750689928,0.18,1.423979825,0.321838328,0.356319123,0.33659062
0.001899557,0.236308308,0.000152359,1.631933539,0.19,1.263604108,0.504323738,0.35303515,0.323597337
0.002019817,0.26810316,0.00014298,1.485648396,0.2,1.148250771,0.707228654,0.34302061,0.306313605
0.002007797,0.278669806,0.000129501,1.315066784,0.21,1.035274094,0.918797041,0.324203678,0.283911662
0.001950476,0.281367656,0.000114653,1.143862131,0.22,0.949203637,1.173400694,0.301669178,0.260157922
0.001830726,0.273111793,9.87E-05,0.973462118,0.23,0.864980861,1.460546859,0.274620533,0.234480889
0.001661866,0.255859559,8.24E-05,0.808459066,0.24,0.778676628,1.783487863,0.243920841,0.207195631
0.001492519,0.237532262,6.71E-05,0.655419735,0.25,0.705161286,2.201338083,0.212129821,0.179450425
0.001315535,0.21671454,5.30E-05,0.516614614,0.26,0.635061931,2.740681473,0.179807806,0.151653926
0.001138063,0.194565309,4.04E-05,0.393092261,0.27,0.567401122,3.481460384,0.14766003,0.124114652
0.000970566,0.173163112,2.91E-05,0.281372268,0.28,0.504221683,4.62889138,0.115060007,0.095822958
0.000815443,0.152598348,1.96E-05,0.185970709,0.29,0.444724698,6.686084865,0.083851185,0.068482768
0.000674604,0.13323889,1.17E-05,0.106545487,0.3,0.388665621,11.65235617,0.054533758,0.042519809
0.000543655,0.115058602,4.66E-06,0.033376153,0.31,0.332652577,43.34370077,2.36E-02,0.014463154
0.000424508,0.098229048,1.46E-06,0.031127875,0.32,0.277127349,24.51450505,0.008023782,0.014672688
0.00032891,0.083986085,5.69E-06,0.07587693,0.33,0.230010074,9.386962378,0.034166452,0.038968223
0.000253495,0.071994746,8.37E-06,0.104149508,0.34,0.19056193,5.755995651,0.054924468,0.058362506
0.000186084,0.061170687,1.07E-05,0.129621988,0.35,0.15082438,4.083859929,0.077017194,0.079354981
0.000110262,0.04944253,1.37E-05,0.163136336,0.36,0.096596904,2.976878277,0.107944444,0.10922434
4.57E-05,0.039159955,1.61E-05,0.189640868,0.37,4.33E-02,2.229900666,0.138511861,0.139000575
6.60E-06,0.032136499,1.70E-05,0.199562392,0.38,6.81E-03,1.788415896,0.160227539,0.160292569
8.77E-06,0.02812959,1.65E-05,0.194023064,0.39,0.009831791,1.566449642,0.171018358,0.170939046
