theta1,theta2,dtheta1,dtheta2,t
0.785398163,0,0,0,0
0.555493678,35.75946227,0.007558313,75.7349501,0.01
0.179258414,94.63795389,0.010162488,118.1762133,0.02
-0.170061198,149.5910711,0.010148743,118.2106091,0.03
-0.458091166,194.9236352,0.00765846,81.07223497,0.04
-0.669060076,227.8852742,0.00188341,17.40070511,0.05
-0.787856032,245.9382432,-0.007423288,-61.55766791,0.06
-0.810247709,248.3240215,-0.018069351,-146.368018,0.07
-0.756657827,238.1627687,-0.026881958,-229.9257439,0.08
-0.659762877,220.5233084,-0.032990133,-307.0583789,0.09
-0.545531632,199.4856181,-0.037125967,-374.322151,0.1
-0.42910781,177.4906025,-0.040045886,-429.8893523,0.11
-0.318277857,155.8572867,-0.042175233,-473.1699457,0.12
-0.216948415,135.3104236,-0.043717137,-504.4893058,0.13
-0.126972333,116.2496962,-0.044750568,-524.6623301,0.14
-0.048860399,98.86229793,-0.045313688,-534.9848983,0.15
0.017325273,83.24924653,-0.045415571,-536.7551506,0.16
0.072006208,69.42433817,-0.045068684,-531.3379254,0.17
0.116060676,57.31911638,-0.044303659,-520.124396,0.18
0.150328472,46.85647138,-0.043156909,-504.3099408,0.19
0.175903786,37.90897873,-0.041682598,-485.0089488,0.2
0.193938725,30.32985455,-0.039944241,-463.1957605,0.21
0.205485529,23.97882133,-0.038006226,-439.6799154,0.22
0.211649329,18.69928318,-0.035933855,-415.1562718,0.23
0.213421791,14.34602189,-0.033786093,-390.1911747,0.24
0.211656463,10.79035811,-0.03161316,-365.237216,0.25
0.20715068,7.907323111,-0.029456729,-340.6536375,0.26
0.200574703,5.588611886,-0.027349202,-316.7170463,0.27
0.192487891,3.74091975,-0.025314911,-293.6376342,0.28
0.18335898,2.282327415,-0.023370284,-271.5584009,0.29
0.17356935,1.143450201,-0.021526203,-250.57847,0.3
0.163430281,0.265456341,-0.019789644,-230.7667661,0.31
0.153181521,-0.400697661,-0.018162874,-212.1484067,0.32
0.142998144,-0.894709934,-0.016644681,-194.7148818,0.33
0.133024833,-1.250778332,-0.015233164,-178.4527697,0.34
0.123377747,-1.497864466,-0.013925928,-163.3444891,0.35
0.114146984,-1.660885159,-0.012719391,-149.3589586,0.36
0.105362254,-1.756130004,-0.011607119,-136.431714,0.37
0.097039278,-1.796925386,-0.010582848,-124.4988416,0.38
0.089194745,-1.795754497,-0.009641109,-113.5042392,0.39
0.081846303,-1.76425552,-0.008777214,-103.3996189,0.4
0.075009268,-1.712866948,-0.007986996,-94.14171064,0.41
0.068662915,-1.646965106,-0.007264531,-85.66574023,0.42
0.062779504,-1.570082522,-0.006604209,-77.90956294,0.43
0.057336511,-1.485820716,-0.006001124,-70.81846604,0.44
0.052314222,-1.397634147,-0.005450849,-64.34271301,0.45
0.047695418,-1.308793292,-0.004949412,-58.43734705,0.46
0.043455945,-1.221159371,-0.004492793,-53.05646784,0.47
0.039566699,-1.135323063,-0.004077101,-48.15534346,0.48
0.036001886,-1.051954092,-0.003698827,-43.69345267,0.49
0.032738476,-0.971792362,-0.003354773,-39.63371433,0.5
0.029756193,-0.895645979,-0.003042044,-35.94248809,0.51
0.027036052,-0.824199461,-0.002757979,-32.58874195,0.52
0.02455555,-0.75725878,-0.002499981,-29.54210599,0.53
0.022294341,-0.694581694,-0.002265744,-26.77558712,0.54
0.020234017,-0.636022315,-0.002053148,-24.2642931,0.55
0.018357972,-0.5815173,-0.001860243,-21.98532716,0.56
0.0166514,-0.531085396,-0.001685251,-19.91778819,0.57
0.015100779,-0.484757769,-0.001526544,-18.0425006,0.58
0.013691746,-0.442187268,-0.001382601,-16.34154249,0.59
0.012411761,-0.403032676,-0.001252115,-14.79952826,0.6
0.011249393,-0.367020432,-0.001133877,-13.40218639,0.61
0.010194141,-0.333928603,-0.00102676,-12.13621976,0.62
0.00923644,-0.303586796,-0.000929719,-10.9893057,0.63
0.008367656,-0.27587609,-0.000841793,-9.950096023,0.64
0.007579783,-0.250685492,-0.000762091,-9.008071836,0.65
0.006864963,-0.227743417,-0.00068983,-8.153966749,0.66
0.006216866,-0.206829648,-0.000624377,-7.380328493,0.67
0.005629622,-0.187756069,-0.000565139,-6.680140587,0.68
0.005097725,-0.170358318,-0.000511552,-6.04674423,0.69
0.004616037,-0.154495777,-0.000463083,-5.473838302,0.7
0.004179782,-0.140051561,-0.00041923,-4.955479369,0.71
0.003784549,-0.126932515,-0.000379518,-4.486081682,0.72
0.003426291,-0.115063281,-0.00034351,-4.060450426,0.73
0.003101457,-0.104299796,-0.000310862,-3.674538992,0.74
0.00280718,-0.094526725,-0.000281297,-3.325075765,0.75
0.002540803,-0.085655935,-0.00025455,-3.008904831,0.76
0.002299808,-0.077606167,-0.000230364,-2.723019342,0.77
0.002081814,-0.070303036,-0.000208499,-2.464561513,0.78
0.001884578,-0.063679031,-0.000188725,-2.230822624,0.79
0.001705996,-0.057673513,-0.000170825,-2.019243021,0.8
0.001544111,-0.052232176,-0.000154598,-1.827426671,0.81
0.001397351,-0.047298793,-0.000139887,-1.653533368,0.82
0.001264454,-0.042826839,-0.000126568,-1.496097793,0.83
0.001144217,-0.038775557,-0.00011452,-1.35369375,0.84
0.001035492,-0.035106783,-0.00010363,-1.224960614,0.85
0.000937192,-0.031784948,-9.38E-05,-1.108603331,0.86
0.000848288,-0.028777079,-8.49E-05,-1.003392418,0.87
0.000767812,-0.026052797,-7.68E-05,-0.908163964,0.88
0.000694859,-0.023584283,-6.95E-05,-0.82183027,0.89
0.000628735,-0.021346974,-6.29E-05,-0.743577196,0.9
0.000568875,-0.019320591,-5.69E-05,-0.672742961,0.91
0.000514731,-0.017486395,-5.15E-05,-0.608682103,0.92
0.000465783,-0.015826787,-4.66E-05,-0.55077869,0.93
0.000421537,-0.01432531,-4.22E-05,-0.498446325,0.94
0.000381525,-0.012966649,-3.82E-05,-0.451128139,0.95
0.000345307,-0.011736628,-3.45E-05,-0.408296796,0.96
0.000312478,-0.010622369,-3.13E-05,-0.369469241,0.97
0.000282757,-0.009613466,-2.83E-05,-0.334317418,0.98
