theta1,theta2,dtheta1,dtheta2,t
0.785398163,0,0,0,0
0.579793483,31.99498338,0.007500563,73.98292354,0.01
0.198515391,91.60495517,0.010200448,118.1760088,0.02
-0.159694368,147.9017965,0.010322448,120.4442021,0.03
-0.456766992,194.628349,0.008012159,84.87258962,0.04
-0.676254391,228.9242849,0.00237992,21.86018832,0.05
-0.801697452,248.0355818,-0.006996406,-57.19013801,0.06
-0.826972353,250.9044755,-0.017926311,-142.5879393,0.07
-0.772393225,240.6282735,-0.026955543,-227.0395152,0.08
-0.672735593,222.5949423,-0.033129962,-305.1791858,0.09
-0.555459633,201.1122972,-0.037266651,-373.4230686,0.1
-0.436252407,178.7038942,-0.040176148,-429.8464987,0.11
-0.323094676,156.7199301,-0.042302391,-473.8274378,0.12
-0.219870279,135.8817048,-0.043847171,-505.6574684,0.13
-0.128335764,116.5772881,-0.04489119,-526.2177017,0.14
-0.049090455,99.00618306,-0.045462057,-536.7304567,0.15
0.017945187,83.2504439,-0.045570259,-538.5774127,0.16
0.073280989,69.311958,-0.04522851,-533.1720904,0.17
0.117713356,57.13464149,-0.044461522,-521.8750859,0.18
0.152228029,46.62016308,-0.043309268,-505.9418743,0.19
0.177923603,37.64087557,-0.041825578,-486.4945972,0.2
0.195946523,30.05118475,-0.040073742,-464.5108273,0.21
0.207436005,23.69745367,-0.038120879,-440.8237775,0.22
0.213480055,18.42617139,-0.036032537,-416.1297339,0.23
0.215083657,14.09016233,-0.033868504,-390.9996338,0.24
0.213148982,10.55282585,-0.031680221,-365.8926358,0.25
0.208466215,7.690608572,-0.029509694,-341.1702522,0.26
0.201712766,5.394046577,-0.027389586,-317.1101386,0.27
0.193458456,3.567756639,-0.025344038,-293.9190065,0.28
0.184174423,2.129729067,-0.02338988,-271.7443716,0.29
0.174243954,1.010211311,-0.021537942,-250.6850155,0.3
0.163973936,0.150397739,-0.019794307,-230.8001422,0.31
0.153606029,-0.498926709,-0.018161417,-212.1172788,0.32
0.143327054,-0.978696019,-0.016638994,-194.6390048,0.33
0.133278328,-1.322773078,-0.015224797,-178.3486202,0.34
0.123563831,-1.559035153,-0.013915202,-163.2148671,0.35
0.114257246,-1.710327689,-0.012705661,-149.1958223,0.36
0.105407923,-1.795289959,-0.011591042,-136.2420731,0.37
0.097045882,-1.829061885,-0.010565891,-124.2992792,0.38
0.089185976,-1.823884086,-0.009624621,-113.3102162,0.39
0.081831311,-1.789603978,-0.008761649,-103.2163839,0.4
0.074976055,-1.734100414,-0.007971496,-93.95925312,0.41
0.068607711,-1.663638468,-0.007248856,-85.48121408,0.42
0.062708954,-1.58316477,-0.006588644,-77.72628173,0.43
0.057259102,-1.496552556,-0.005986025,-70.64060353,0.44
0.052235277,-1.406804405,-0.005436433,-64.17280871,0.45
0.047613325,-1.31621949,-0.004935577,-58.27423155,0.46
0.043368528,-1.22653118,-0.004479444,-52.89903543,0.47
0.039476145,-1.139019939,-0.004064295,-48.00425988,0.48
0.035911832,-1.054605698,-0.003686655,-43.5498087,0.49
0.032651937,-0.973923203,-0.003343309,-39.49839386,0.5
0.02967372,-0.897383307,-0.003031284,-35.81544696,0.51
0.026955499,-0.825222631,-0.00274784,-32.46900799,0.52
0.024476745,-0.757543694,-0.002490455,-29.42959856,0.53
0.02221813,-0.694347173,-0.002256813,-26.67008591,0.54
0.020161549,-0.635557755,-0.002044789,-24.16554205,0.55
0.018290108,-0.581044728,-0.001852437,-21.89310171,0.56
0.016588106,-0.530638295,-0.001677976,-19.8318217,0.57
0.015040987,-0.484142412,-0.001519778,-17.9625438,0.58
0.013635301,-0.441344808,-0.001376357,-16.26776241,0.59
0.012358644,-0.402024734,-0.001246359,-14.73149815,0.6
0.011199602,-0.365958876,-0.001128546,-13.33917788,0.61
0.010147692,-0.332925813,-0.001021793,-12.07752164,0.62
0.009193297,-0.302709295,-0.000925076,-10.93443658,0.63
0.008327614,-0.2751006,-0.000837463,-9.898917923,0.64
0.007542588,-0.249900163,-0.000758105,-8.960956866,0.65
0.006830861,-0.226918621,-0.000686233,-8.111455116,0.66
0.006185719,-0.205977433,-0.000621146,-7.342145918,0.67
0.005601036,-0.186909137,-0.00056221,-6.645521188,0.68
0.005071233,-0.16955737,-0.000508847,-6.014764448,0.69
0.004591228,-0.153776679,-0.000460533,-5.443689203,0.7
0.0041564,-0.139432205,-0.000416793,-4.926682425,0.71
0.003762542,-0.126399257,-0.000377198,-4.45865279,0.72
0.003405833,-0.114562834,-0.000341355,-4.034983323,0.73
0.003082801,-0.103817089,-0.000308912,-3.651488133,0.74
0.002790292,-0.094064789,-0.000279546,-3.304372927,0.75
0.002525442,-0.085216756,-0.000252967,-2.990198991,0.76
0.002285655,-0.077191321,-0.000228911,-2.705850379,0.77
0.002068571,-0.069913785,-0.00020714,-2.448504027,0.78
0.001872053,-0.063315902,-0.000187437,-2.215602568,0.79
0.001694163,-0.057335385,-0.000169606,-2.004829598,0.8
0.001533142,-0.051915435,-0.000153469,-1.814087202,0.81
0.001387396,-0.0470043,-0.000138866,-1.64147553,0.82
0.001255483,-0.042554861,-0.000125652,-1.485274246,0.83
0.001136092,-0.038524243,-0.000113694,-1.343925694,0.84
0.00102804,-0.034873454,-0.000102873,-1.216019615,0.85
0.000930252,-0.031567054,-9.31E-05,-1.100279281,0.86
0.000841754,-0.028572845,-8.42E-05,-0.995548917,0.87
0.000761668,-0.025861585,-7.62E-05,-0.900782305,0.88
0.000689194,-0.02340673,-6.90E-05,-0.815032436,0.89
0.00062361,-0.021184188,-6.24E-05,-0.737442146,0.9
0.000564263,-0.019172105,-5.64E-05,-0.667235617,0.91
0.00051056,-0.017350656,-5.11E-05,-0.603710687,0.92
0.000461964,-0.015701867,-4.62E-05,-0.546231875,0.93
0.000417992,-0.014209441,-4.18E-05,-0.494224064,0.94
0.000378203,-0.012858607,-3.78E-05,-0.447166783,0.95
0.0003422,-0.01163598,-3.42E-05,-0.404589025,0.96
0.000309623,-0.010529429,-3.10E-05,-0.366064554,0.97
0.000280145,-0.009527966,-2.80E-05,-0.331207659,0.98
0.000253474,-0.008621638,-2.54E-05,-0.299669306,0.99
0.000229341,-0.007801426,-2.29E-05,-0.271133654,1
