e1,e2,ed1,ed2,t
0,0,0,0,0
1.02E-06,1.33E-05,5.32E-06,7.26E-05,0.01
1.93E-06,2.52E-05,1.06E-05,0.000151793802072309,0.02
2.75E-06,3.56E-05,1.56E-05,0.00023901426463846,0.03
3.46E-06,4.45E-05,2.03E-05,0.000337797451659294,0.04
4.06E-06,5.19E-05,2.56E-05,0.000465792056501213,0.05
4.57E-06,5.80E-05,3.13E-05,0.000630277091891451,0.06
5.00E-06,6.29E-05,3.62E-05,0.000822076105356895,0.07
5.35E-06,6.68E-05,3.97E-05,0.00104203343432174,0.08
5.60E-06,6.94E-05,4.19E-05,0.00130633085894782,0.09
5.75E-06,7.08E-05,4.33E-05,0.00166052351087287,0.1
5.83E-06,7.12E-05,4.47E-05,0.00221763913087325,0.11
5.86E-06,7.09E-05,4.71E-05,0.00325241785507058,0.12
5.78E-06,6.93E-05,4.96E-05,0.00536748365079554,0.13
5.66E-06,6.72E-05,5.18E-05,0.00901472450737995,0.14
5.54E-06,6.52E-05,5.32E-05,0.00749318442591074,0.15
5.42E-06,6.33E-05,5.38E-05,0.00464672010873302,0.16
5.27E-06,6.11E-05,5.38E-05,0.00321807516095585,0.17
5.07E-06,5.83E-05,5.34E-05,0.00243781783298336,0.18
4.80E-06,5.47E-05,5.33E-05,0.00197054923370743,0.19
4.32E-06,4.86E-05,5.34E-05,0.00166052764703695,0.2
3.75E-06,4.16E-05,5.34E-05,0.00143686512974761,0.21
3.23E-06,3.53E-05,5.31E-05,0.00126545503819164,0.22
2.83E-06,3.04E-05,5.23E-05,0.00112603179180482,0.23
2.55E-06,2.71E-05,5.10E-05,0.00100638784479923,0.24
2.35E-06,2.48E-05,4.92E-05,0.000899802074100897,0.25
2.18E-06,2.28E-05,4.69E-05,0.000803874067263233,0.26
1.95E-06,2.03E-05,4.46E-05,0.000720038510642396,0.27
1.63E-06,1.66E-05,4.26E-05,0.000652946229911744,0.28
8.93E-07,8.27E-06,4.02E-05,0.000585541655715227,0.29
1.20E-07,3.18E-06,3.72E-05,0.000516271165488691,0.3
1.13E-06,1.46E-05,3.42E-05,0.000453605087570752,0.31
1.96E-06,2.38E-05,3.14E-05,0.000400915263456314,0.32
2.51E-06,2.98E-05,2.90E-05,0.000358312192013655,0.33
2.75E-06,3.23E-05,2.69E-05,0.000323986013391064,0.34
2.71E-06,3.16E-05,2.51E-05,0.000295229410895992,0.35
2.46E-06,2.85E-05,2.32E-05,0.00026925551654744,0.36
2.11E-06,2.44E-05,2.13E-05,0.000243884380265735,0.37
1.80E-06,2.07E-05,1.93E-05,0.000218146750532,0.38
1.68E-06,1.91E-05,1.72E-05,0.000192837859058825,0.39
1.94E-06,2.19E-05,1.50E-05,0.000165149785973928,0.4
